bango_key,bango_definition_ordinal,skill_name,scope,client_level_bands_json,client_cumulative_max_grades_json,client_incremental_grade_counts_json,client_schedule_format,client_max_grade,schedule_state,legacy_position,legacy_schedule_format,match_method,comparison_classification,verification_status,free_upgrade_status,bango_grade_json_status,notes,provenance,source_file,source_line
thief-14,1,Fatal Wound,thief,[53],[3],[3],53|3,3,client-schedule-resolved,24,53|3,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,217
thief-15,1,Ankle Amputate,thief,[54],[3],[3],54|3,3,client-schedule-resolved,24,54|3,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,218
thief-16,1,Vital Strike,thief,[56],[3],[3],56|3,3,client-schedule-resolved,24,56|3,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,219
thief-17,1,Rupture,thief,[58],[5],[5],58|5,5,client-schedule-resolved,24,58|5,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,220
thief-18,1,Final Blow,thief,[60],[2],[2],60|2,2,client-schedule-resolved,24,60|2,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,221
thief-21,1,Suicidal Blow,thief,[56],[5],[5],56|5,5,client-schedule-resolved,24,56|5,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,222
thief-13,1,Dance of Killing,thief,[50],[2],[2],50|2,2,client-schedule-resolved,25,50|2,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,224
thief-19,1,Spin Attack,thief,[50],[3],[3],50|3,3,client-schedule-resolved,25,50|3,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,225
thief-20,1,Counter attack,thief,[53],[5],[5],53|5,5,client-schedule-resolved,25,53|5,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,226
thief-22,1,Armor Breaker,thief,[54],[5],[5],54|5,5,client-schedule-resolved,25,54|5,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,227
thief-23,1,Twin Blade Strike,thief,[60],[1],[1],60|1,1,client-schedule-resolved,25,60|1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,228
thief-30,1,Life Extension,thief,"[50,55,60,65,70]","[1,2,3,4,5]","[1,1,1,1,1]",50 55 60 65 70|1 1 1 1 1,5,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,230
thief-24,1,Deep Breath,thief,[25],[1],[1],25|1,1,client-schedule-resolved,22,25|1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,234
thief-25,1,Acrobatic,thief,"[30,35,40,45,50]","[1,2,3,4,5]","[1,1,1,1,1]",30 35 40 45 50|1 1 1 1 1,5,client-schedule-resolved,23,30 35 40 45 50|1 1 1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,249
thief-26,1,High grade Acrobatic,thief,[70],[1],[1],70|1,1,client-schedule-resolved,27,70|1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,265
thief-28,1,Lightning Slash,thief,[70],[6],[6],70|6,6,client-schedule-resolved,27,70|6,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,279
thief-29,1,Wind Cry,thief,[70],[1],[1],70|1,1,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,304
thief-31,1,Wrath of Thief,thief,[70],[1],[1],70|1,1,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,307
thief-27,1,Silence Step,thief,[70],[1],[1],70|1,1,client-schedule-resolved,26,70|1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,314
thief-33,1,Wrath of Heaven,thief,[70],[6],[6],70|6,6,client-schedule-resolved,26,70|6,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,329
thief-34,1,Remove Sign,thief,[70],[1],[1],70|1,1,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,354
thief-35,1,Flame Dance,thief,[70],[3],[3],70|3,3,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,368
thief-37,1,Weak Point Detection,thief,[60],[8],[8],60|8,8,client-schedule-resolved,23,60|8,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,391
thief-63,1,Counter offensive,thief,[63],[5],[5],63|5,5,client-schedule-resolved,25,63|5,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,408
thief-70,1,Blessing of Son of the Sky,thief,"[70,75,80,85,90,95,100]","[1,2,3,4,5,6,7]","[1,1,1,1,1,1,1]",70 75 80 85 90 95 100|1 1 1 1 1 1 1,7,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,432
thief-71,1,Blessing of Son of the Sky,thief,"[70,75,80,85,90,95,100]","[1,2,3,4,5,6,7]","[1,1,1,1,1,1,1]",70 75 80 85 90 95 100|1 1 1 1 1 1 1,7,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,454
thief-80,1,Artillery,thief,[50],[1],[1],50|1,1,client-schedule-resolved,,,ambiguous-normalized-name-and-class,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,476
thief-81,1,Artillery,thief,[50],[1],[1],50|1,1,client-schedule-resolved,,,ambiguous-normalized-name-and-class,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,495
thief-85,1,Mystery Skill of Accuracy,thief,[81],[20],[20],81|20,20,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,516
thief-86,1,Mystery skill of Evasion,thief,[81],[20],[20],81|20,20,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,538
thief-87,1,Mystery skill of Defense,thief,[81],[20],[20],81|20,20,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,561
thief-88,1,Walk on the Air,thief,[91],[10],[10],91|10,10,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,583
thief-89,1,Evolution of Mana Circulation,thief,[91],[10],[10],91|10,10,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,597
thief-90,1,Critical Strike,thief,"[91,96,101]","[1,2,3]","[1,1,1]",91 96 101|1 1 1,3,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,618
thief-91,1,Strike of God,thief,"[91,96,101]","[1,2,3]","[1,1,1]",91 96 101|1 1 1,3,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,640
thief-92,1,Critical Diffusion,thief,"[91,96,101]","[1,2,3]","[1,1,1]",91 96 101|1 1 1,3,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,662
thief-93,1,Destroying Armor,thief,"[91,96,101]","[1,2,3]","[1,1,1]",91 96 101|1 1 1,3,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,684
thief-94,1,Attack of Dark Shadow,thief,[96],[2],[2],96|2,2,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,706
knight-2,1,Weapon Mastery,knight,[1],[20],[20],1|20,20,client-schedule-resolved,8,1 60|20 2,normalized-name-and-class,free-band-omitted,contested,legacy-free-band-omitted-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,Bango reproduces every declared band but omits the legacy level-60 automatic/free band. Client files cannot prove whether the live server still grants it.,bango-file,jobsystem.dat,731
knight-3,1,Lightning Slash,knight,[5],[10],[10],5|10,10,client-schedule-resolved,8,5|10,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,747
knight-4,1,Mockery ,knight,[18],[5],[5],18|5,5,client-schedule-resolved,8,18|5,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,771
knight-5,1,Transcendental Blow,knight,[30],[5],[5],30|5,5,client-schedule-resolved,9,30|5,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,795
knight-6,1,Defense,knight,"[30,35,40,45,50]","[3,6,9,12,15]","[3,3,3,3,3]",30 35 40 45 50|3 3 3 3 3,15,client-schedule-resolved,9,30 35 40 45 50 60|3 3 3 3 3 2,normalized-name-and-class,free-band-omitted,contested,legacy-free-band-omitted-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,Bango reproduces every declared band but omits the legacy level-60 automatic/free band. Client files cannot prove whether the live server still grants it.,bango-file,jobsystem.dat,820
knight-7,1,Upward Slash,knight,[24],[5],[5],24|5,5,client-schedule-resolved,8,24|5,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,836
knight-8,1,Provocation,knight,[41],[3],[3],41|3,3,client-schedule-resolved,9,41|3,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,861
knight-9,1,Flashing Slash,knight,[39],[3],[3],39|3,3,client-schedule-resolved,9,39|3,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,886
knight-10,1,Increasing Concentration,knight,[42],[1],[1],42|1,1,client-schedule-resolved,9,42 60|1 1,normalized-name-and-class,free-band-omitted,contested,legacy-free-band-omitted-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,Bango reproduces every declared band but omits the legacy level-60 automatic/free band. Client files cannot prove whether the live server still grants it.,bango-file,jobsystem.dat,911
knight-11,1,Critical Hit,knight,"[10,34,47]","[5,10,15]","[5,5,5]",10 34 47|5 5 5,15,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,933
knight-12,1,Widening Wound,knight,[43],[5],[5],43|5,5,client-schedule-resolved,9,43|5,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,950
knight-13,1,Protect,knight,[15],[1],[1],15|1,1,client-schedule-resolved,14,15|1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,975
knight-14,1,Shield Attack,knight,[25],[1],[1],25|1,1,client-schedule-resolved,14,25|1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,998
knight-15,1,Life Extension,knight,"[50,55,60,65,70]","[1,2,3,4,5]","[1,1,1,1,1]",50 55 60 65 70|1 1 1 1 1,5,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1019
knight-16,1,Powerful Upward Slash,knight,"[50,57,63,68]","[1,2,3,4]","[1,1,1,1]",50 57 63 68|1 1 1 1,4,client-schedule-resolved,10,50 57 63 68|1 1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1034
knight-17,1,Brutal Attack,knight,"[53,56,63,67,70]","[1,2,3,4,5]","[1,1,1,1,1]",53 56 63 67 70|1 1 1 1 1,5,client-schedule-resolved,10,53 56 63 67 70|1 1 1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1056
knight-18,1,Force of Defense,knight,"[50,56,62,70]","[1,2,3,4]","[1,1,1,1]",50 56 62 70|1 1 1 1,4,client-schedule-resolved,11,50 56 62 70|1 1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1086
knight-19,1,Call of Defense,knight,"[51,57,63]","[1,2,3]","[1,1,1]",51 57 63|1 1 1,3,client-schedule-resolved,11,51 57 63|1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1109
knight-20,1,Parry,knight,[50],[1],[1],50|1,1,client-schedule-resolved,10,50|1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1132
knight-21,1,Rush,knight,"[52,62]","[1,2]","[1,1]",52 62|1 1,2,client-schedule-resolved,10,52 62|1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1148
knight-22,1,Shield Offense,knight,"[52,59,64,68]","[1,2,3,4]","[1,1,1,1]",52 59 64 68|1 1 1 1,4,client-schedule-resolved,11,52 59 64 68|1 1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1171
knight-23,1,Call of Recovery,knight,"[55,61,67]","[1,2,3]","[1,1,1]",55 61 67|1 1 1,3,client-schedule-resolved,11,55 61 67|1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1200
knight-24,1,Berserk,knight,"[53,56,59,62,65,70]","[1,2,3,4,5,6]","[1,1,1,1,1,1]",53 56 59 62 65 70|1 1 1 1 1 1,6,client-schedule-resolved,10,53 56 59 62 65 70|1 1 1 1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1221
knight-25,1,Half Swing,knight,"[54,58,62,66,69]","[1,2,3,4,5]","[1,1,1,1,1]",54 58 62 66 69|1 1 1 1 1,5,client-schedule-resolved,10,54 58 62 66 69|1 1 1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1244
knight-26,1,Sacrifice,knight,"[52,61]","[1,2]","[1,1]",52 61|1 1,2,client-schedule-resolved,11,52 61|1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1270
knight-27,1,Call of Lightning Defense,knight,"[53,57,64]","[1,2,3]","[1,1,1]",53 57 64|1 1 1,3,client-schedule-resolved,11,53 57 64|1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1293
knight-28,1,Call of Ice Defense,knight,"[53,57,64]","[1,2,3]","[1,1,1]",53 57 64|1 1 1,3,client-schedule-resolved,11,53 57 64|1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1314
knight-29,1,Call of Fire Defense,knight,"[53,57,64]","[1,2,3]","[1,1,1]",53 57 64|1 1 1,3,client-schedule-resolved,11,53 57 64|1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1335
knight-30,1,Call of On Target Point,knight,"[54,58,65]","[1,2,3]","[1,1,1]",54 58 65|1 1 1,3,client-schedule-resolved,11,54 58 65|1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1356
knight-31,1,Call of Physical Attack,knight,"[54,60,66]","[1,2,3]","[1,1,1]",54 60 66|1 1 1,3,client-schedule-resolved,11,54 60 66|1 1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1377
knight-32,1,Survival Instinct,knight,"[56,63]","[1,2]","[1,1]",56 63|1 1,2,client-schedule-resolved,11,56 63|1 1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1398
knight-33,1,Elastic Shield,knight,[58],[1],[1],58|1,1,client-schedule-resolved,11,58|1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1420
knight-34,1,Revival,knight,"[59,69]","[1,2]","[1,1]",59 69|1 1,2,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1441
knight-35,1,Increase of Critical Hit,knight,[61],[1],[1],61|1,1,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1466
knight-37,1,Defense strengthening,knight,[70],[1],[1],70|1,1,client-schedule-resolved,13,70|1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1488
knight-38,1,Perfect defense,knight,[70],[6],[6],70|6,6,client-schedule-resolved,13,70|6,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1504
knight-39,1,Weapon defend,knight,[70],[1],[1],70|1,1,client-schedule-resolved,12,70|1,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1533
knight-40,1,Spin Slash,knight,[70],[6],[6],70|6,6,client-schedule-resolved,12,70|6,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1550
knight-41,1,Powerful Widening Wound,knight,[56],[5],[5],56|5,5,client-schedule-resolved,11,56|5,normalized-name-and-class,reproduces-legacy,reproduces-legacy,not-applicable-starts-at-50-or-later,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,1579
