que_id,step_index,step_text,items_json,provenance,source_file,source_line
9003,2,HyungJoo-SeungGong want you to get stronger for fighting with the demons. Please go back to HyungJoo-SeungGong if your level comes to 30. HyungJoo-SeungGong will tell you what you can do.,[],bango-file,questlist.dat,11
57,1,"Buy a fish trap from the merchant and ask the Fish Grounds Keeper to install your fish trap. If you get a Goby, bring it to the guard.","[{""item_id"":""237"",""count"":""1""}]",bango-file,questlist.dat,12
4,1,"Ji-hun is looking for the general, Poong-seup. Please find the general, Poong-seup. Chief Guard, Joo-Jimin knows where he is. Go to meet Joo-Jimin.",[],bango-file,questlist.dat,13
4,2,"The chief, Joo-Jimin want you to prove that you're not a spy if you want to know about the general, Poong-seup. Hunt Demon escort archer and get 10 demon's bows.","[{""item_id"":""147"",""count"":""10""}]",bango-file,questlist.dat,13
4,3,"The general, Poong-seup has won the battle in Chung-Song and he's defending Chung-Song. Talk to the farmer, Ji-Hun about the general, Poong-seup.",[],bango-file,questlist.dat,13
5,1,Gwee-Sik borrowed money from Nu-Woong. Find Gwee-Sik and get the money back to Nu-Woong.,"[{""item_id"":""135"",""count"":""1""}]",bango-file,questlist.dat,14
5,2,"The miner, Gwee-Sik can't work because the demon called Suicide bombers attack people. Hunt the Suicide bomber and collect 10 Suicide bomber's oil for proof.","[{""item_id"":""148"",""count"":""10""}]",bango-file,questlist.dat,14
5,3,Gwee-Sik made money from the mine. Give the money from Gwee-Sik to Nu-Woong.,"[{""item_id"":""143"",""count"":""1""}]",bango-file,questlist.dat,14
6,1,"The farmer Ha-Jik asked the farmer, Nu-Woong to deliver the rice. Inquire that the rice's arrived safely.",[],bango-file,questlist.dat,15
6,2,"The farmer, Nu-Woong didn't get the rice.  Inquire what happened to the farmer Ha-Jik.",[],bango-file,questlist.dat,15
6,3,"The farmer, Ha-Jik asked the boatman, Gwang-chun to deliver the rice. Inquire what happened to the boatman, Gwang-chun.",[],bango-file,questlist.dat,15
6,4,"The boatman, Gwang-chun couldn't deliver the rice because of the Big handed inhabitants. Hunt the Big handed inhabitant and collect 15 Big handed inhabitant's teeth.","[{""item_id"":""149"",""count"":""15""}]",bango-file,questlist.dat,15
6,5,"The boatman, Gwang-chun'rice has be stolen. Hunt the Demon carcass scavenger and collect 2 bags of rice.","[{""item_id"":""151"",""count"":""2""}]",bango-file,questlist.dat,15
7,1,"The guard, Won-Jung worries about his wife so much. Give the letter to his wife, Yae-Jin in Narootuh vil.","[{""item_id"":""136"",""count"":""1""}]",bango-file,questlist.dat,16
7,2,"Yae-Jin wants to make some tonic for Won-Jung, but two materials are required. Hunt the Big handed slave and collect 10 materials of Milk Vetch and White Peony.","[{""item_id"":""153"",""count"":""10""},{""item_id"":""154"",""count"":""10""}]",bango-file,questlist.dat,16
7,3,"Give the tonic and Yae-Jin's letter to Guard, Won-Jung in Jook-Suh Cargo Station.","[{""item_id"":""137"",""count"":""1""},{""item_id"":""144"",""count"":""1""}]",bango-file,questlist.dat,16
8,1,"The general, Sae-won finally found out what the Demon carcass scavenger is. Hunt the Demon carcass scavenger who revive the demons, and collect 25 carcass for the general, Sae-won in Jook-Suh Cargo Station.","[{""item_id"":""152"",""count"":""25""}]",bango-file,questlist.dat,17
9,1,"The chief guard, Guh-Sosun worries about the lack of medicine for injured soldiers. Please get some tonic. The woman [Yae-Jin] in Narootuh village can make tonic.",[],bango-file,questlist.dat,18
9,2,Yae-Jin said she could make tonic if she has enough Milk Vetch and White Peony. 12 Milk Vetches and 12 White Peonies from Big handed slaves and give them to Yae-Jin.,"[{""item_id"":""153"",""count"":""12""},{""item_id"":""154"",""count"":""12""}]",bango-file,questlist.dat,18
9,3,"Give the tonic that Yae-Jin made to the chief guard, Guh-Sosun in Jook-Suh Cargo Station.","[{""item_id"":""144"",""count"":""1""}]",bango-file,questlist.dat,18
10,1,"The miner, Joo-Nong spend with alcohol everyday because of the demons. Find some alcohol and give him. It's said that the woman [Ok-Jin] in Jook-Suh Cargo Station makes good drinks.",[],bango-file,questlist.dat,19
10,2,Ok-Jin who can make best quality drinks in the country asked for revenge for her husband's death. 20 Demon soldier's teeth from Demon soldiers and give them to Ok-Jin.,"[{""item_id"":""150"",""count"":""20""}]",bango-file,questlist.dat,19
10,3,Bring the alcohol over from Ok-Jin to Joo-Nong.,"[{""item_id"":""145"",""count"":""1""}]",bango-file,questlist.dat,19
11,1,Gwee-Sik worries about the lost rice cake. Go to Ha-Jik in Narootuh village and find out what happened.,[],bango-file,questlist.dat,20
11,2,Ha-Jik said that he got attacked from the Big handed blue warriors during delivery. Hunt the Big handed blue warriors and collect 25 rice cakes.,"[{""item_id"":""155"",""count"":""25""}]",bango-file,questlist.dat,20
11,3,Ha-Jik can't deliver the rice cake because of his injury. Deliver the rice cake to Gwee-Sik in Geum-Oh Mine.,"[{""item_id"":""155"",""count"":""25""}]",bango-file,questlist.dat,20
37,1,Chang asked you to find a keg of talisman. The keg of talisman was taken by the naughty Doggebi. The naughty Doggebi is near by the village of Jook-Suh Cargo Station.,"[{""item_id"":""336"",""count"":""1""}]",bango-file,questlist.dat,21
37,2,Chang wants to give you an ancient animal for a reward. But he has to take care of the animals now. Talk to Chang after a moment.,[],bango-file,questlist.dat,21
12,1,Wa-Ryu worries that he lost the talisman of his wife's gift. Hunt the Big handed red warrior and get the Wa-Ryu's talisman.,"[{""item_id"":""156"",""count"":""1""}]",bango-file,questlist.dat,22
13,1,Yae-Jin's looking for her father who hasn't come back home for a half year. Go to Geum-Oh Mine and find him out.,[],bango-file,questlist.dat,23
13,2,"Yae-Jin's father, the miner, Joo-Nong said his gold was taken by the Demon infantry. They have a big sword with them. Hunt them and collect 30 golds.","[{""item_id"":""157"",""count"":""30""}]",bango-file,questlist.dat,23
13,3,Go back to Narootuh village and let Joo-Nong's daughter know that her father will come soon.,[],bango-file,questlist.dat,23
14,1,"The guard, Yang-Do's bamboo poles has been taken away by the Demon throwing soldiers. Collect 30 pieces of bamboo poles from Demon throwing soldiers and bring them to Yang-Do in Geum-Oh Mine.","[{""item_id"":""159"",""count"":""30""}]",bango-file,questlist.dat,24
14,2,There's Yoo-An's letter in the lost bamboo poles. Deliver the letter to Ok-Jin in Jook-Suh Cargo Station.,"[{""item_id"":""138"",""count"":""1""}]",bango-file,questlist.dat,24
14,3,"Ok-Jin refused to accept the letter, for she didn't try to believe her husband dead. Go to tell Yang-Do in Geum-Oh Mine about this.",[],bango-file,questlist.dat,24
14,4,"Ok-Jin's father, Ja-Gan saw the Yang-Do's letter and write a heartbreaking letter to his daughter. Give Ja-Gan's letter to Ok-Jin in Jook-Suh Cargo Station.","[{""item_id"":""138"",""count"":""1""},{""item_id"":""139"",""count"":""1""}]",bango-file,questlist.dat,24
14,5,Ok-Jin's mind has been opened by the father's letter. Give Yang-Do the message that she'll meet Yoo-An after the revenge is finished.,[],bango-file,questlist.dat,24
15,1,The Statue of Protection in the #1 mine has lost. Find out the Statue of Protection. It's said the Miner [Joo-Nong] know where it is.,[],bango-file,questlist.dat,25
15,2,"The miner, Joo-Nong said the Statue of Protection is taken by the demons with red light. Collect 30 pieces of the Statue of Protection from them and bring to Gwee-Sik.","[{""item_id"":""160"",""count"":""30""}]",bango-file,questlist.dat,25
16,1,"Ja-Gan wanted to get rid of the rumor that he was a miser, with his gold. But his gold was stolen by demons. Hunt Demon Shock Troopers and collect 30 golds.","[{""item_id"":""158"",""count"":""30""}]",bango-file,questlist.dat,26
16,2,Ja-Gan refused to get the gold back and said that it should be given to the poor. Go to Geum-Oh Mine and find the poor to give his gold.,"[{""item_id"":""158"",""count"":""30""}]",bango-file,questlist.dat,26
16,3,Let Ja-Gan know that Won-Ga will spread the Ja-Gan's good deed throughout the country.,[],bango-file,questlist.dat,26
17,1,"The general, Sae-Won command you to take the demon's red flags. Collect 35 red flags and give them to the general, Sae-Won.","[{""item_id"":""161"",""count"":""35""}]",bango-file,questlist.dat,27
18,1,"For improving the morale of our soldiers, bring 35 heads of the demon water dragons and give them to the general, Sae-Won in Jook-Suh Cargo Station.","[{""item_id"":""162"",""count"":""35""}]",bango-file,questlist.dat,28
19,1,"The general, Sae-Wo retreated from the battle because the demon's drum discouraged his soldiers. Collect 40 demon's drums and give them to the general, Sae-Won.","[{""item_id"":""165"",""count"":""40""}]",bango-file,questlist.dat,29
20,1,"Many soldiers retreated without their armor, so many suits of armor are required. Hunt the Demon armored knight and collect 40 armor items and bring them to the Chief Guard [Guh-Sosun] in Jook-Suh Cargo Station.","[{""item_id"":""166"",""count"":""40""}]",bango-file,questlist.dat,30
21,1,"The guard, Won-Jung wants to collect his friend's clothes to perform a religious service. Hunt the Hungry Demon Water Dragon and collect 40 clothes and bring them to Won-Jung.","[{""item_id"":""167"",""count"":""40""}]",bango-file,questlist.dat,31
22,1,"The chief guard, Guh-Sosun wants to make winter clothes for his soldiers. Hunt the Demon water dragon predator and collect 40 demon water dragon predator skins and bring them to Guh-Sosun.","[{""item_id"":""164"",""count"":""40""}]",bango-file,questlist.dat,32
23,1,"The general, Sae-Won ask you to hunt the Demon mad knight. Hunt the Demon mad knight and collect 40 heads and bring them to General [Sae-Won].","[{""item_id"":""163"",""count"":""40""}]",bango-file,questlist.dat,33
27,1,Moon-Hee's mother in Temporary Fort of Geum-Ohee Castle said that Moon-Yoo follows his sister's voice and walks through the Temporary Fort of Geum-Ohee Castle without intention. Find where the voice comes.,[],bango-file,questlist.dat,34
27,2,"Moon-Hee, the ghost curses her mother and brother.  Find out Moon-Hee占쏙옙s Doll burned with herself from Castoff Baby Ghost and bring it to Moon-Hee in Temporary Fort of Geum-Ohee Castle.",[],bango-file,questlist.dat,34
9004,1,"HyungJoo-SeungGong recommended you for  entering the government service. Now you became an Apprentice in Naraeha. Meet the lord, Jin-Pyung in Geum-Oh Mine. He'll help you to enter the government service.",[],bango-file,questlist.dat,35
9004,2,"Lord, Jin-Pyung gives you a final mission for the government post. Get the Head of the Demon Commander and prove your ability. Then, he finally give you the government position.","[{""item_id"":""181"",""count"":""1""}]",bango-file,questlist.dat,35
9005,1,Meet Mr. Hyun-Choong at Temporary Fort of Geum-Ohee Castle. He's a famous wise man. He may find your memory back.,[],bango-file,questlist.dat,36
9005,2,"The Red Feather in your memory, makes you confuse and headache. Mr. Hyun-Choong told you that the Red Feather represents the general, Gwa-bo and asked you to meet Mr. Jin-Haeryang who's the friend of the general, Gwa-bo. Mr. Jin-Haeryang is at Temporary Fort of Geum-Ohee Castle.",[],bango-file,questlist.dat,36
9005,3,Mr. Jin-Haeryang looks so busy and doesn't care about you. But Mr. Jin-Haeryang asks you a favor to collect 100 spirits in the talismans. Collect 100 spirits by using the talismans in the keg.,"[{""item_id"":""226"",""count"":""100""}]",bango-file,questlist.dat,36
9006,1,Mr. Jin-Haeryang asks you to see the Jae-Ga who's the chief soldier of Temporary Fort of Geum-Ohee Castle. But you're so tired. Rest your self while you're listening to the people.,"[{""item_id"":""234"",""count"":""1""},{""item_id"":""235"",""count"":""1""},{""item_id"":""236"",""count"":""1""}]",bango-file,questlist.dat,37
9006,2,Jae-Ga tells you about the plan to attack the demons of Geum-Ohee Castle. But they don't have enough information. Collect the information and give the information to Jae-Ga. Behead all the Devil Soldiers' heads around Geum-Ohee Castle.,"[{""item_id"":""227"",""count"":""1""},{""item_id"":""228"",""count"":""1""},{""item_id"":""229"",""count"":""1""},{""item_id"":""230"",""count"":""1""},{""item_id"":""231"",""count"":""1""}]",bango-file,questlist.dat,37
9006,3,You get confuse and headache again. It seems that your past must be related with Ban-go. Help Jae-Ga and fight with the Devil Soldiers in Geum-Ohee Castle. Behead the Devil Monsters' heads for raising the morale.,"[{""item_id"":""232"",""count"":""1""},{""item_id"":""233"",""count"":""1""}]",bango-file,questlist.dat,37
9006,4,Jae-Ga troop succeeded the surprise attack but failed to get the Geum-Ohee Castle back. The tomb stone and the distorted space are found in the center of the Geum-Ohee Castle and the enemies are coming from there.[Next Event is updated. Go back to Jae-Ga again.],[],bango-file,questlist.dat,37
28,1,Eliminate the Ghost of Young Man who attacks people and get the Heung-Pae's Necklace of Wolf's Tooth back for Heung-Pae in Temporary Fort of Geum-Ohee Castle.,"[{""item_id"":""209"",""count"":""1""}]",bango-file,questlist.dat,38
29,1,"The Chief Guard, Duk-Yoon asked you to purify the Bead of Ghost containing Ghost of Young Woman. Purify 10 Beads of Ghosts and bring them to Duk-Yoon in Temporary Fort of Geum-Ohee Castle.","[{""item_id"":""210"",""count"":""10""},{""item_id"":""217"",""count"":""1""}]",bango-file,questlist.dat,39
24,1,"The guard, Yang-Do wants to get a secret letter from the Demon commander for distinguishing credits. Get a secret letter from the Demon commander and give it to Yang-Do.","[{""item_id"":""141"",""count"":""1""}]",bango-file,questlist.dat,40
30,1,"Purify 10 Beads of Blacksmithes and bring them to the Guard, Soo-Go in Temporary Fort of Geum-Ohee Castle.","[{""item_id"":""211"",""count"":""10""}]",bango-file,questlist.dat,41
31,1,"Purify the 10 Beads of Ghosts of Guards and bring them to the Guard, Dan-Bok in Temporary Fort of Geum-Ohee Castle.","[{""item_id"":""212"",""count"":""10""}]",bango-file,questlist.dat,42
25,1,Joong-Gwon became deaf because he was frightened when he saw the Demon Water Dragon. He may be cured if he get the Demon Water Dragon Commander's skin. Please get the Demon Water Dragon Commander's skin and give it to Gwee-Sik in Guem-Oh Mine.,"[{""item_id"":""168"",""count"":""1""}]",bango-file,questlist.dat,43
32,1,"Purify the Ghost of Fellow Traveler to the Other World and bring 10 of them to the guard, Ga-Gee in Temporary Fort of Geum-Ohee Castle.","[{""item_id"":""213"",""count"":""10""}]",bango-file,questlist.dat,44
33,1,Purify the Sealed Ghost Troop who attacks Jae-Ga Troop's Scouts and collect 10 Beads and bring them to Fort Guard [Soo-Sung] in Temporary Fort of Geum-Ohee Castle.,"[{""item_id"":""214"",""count"":""10""}]",bango-file,questlist.dat,45
34,1,Collect 10 bows from the Devil Soldier Bow and bring them to Soldier from Troop of Jae-Ga [Yoo-Sang].,"[{""item_id"":""215"",""count"":""10""}]",bango-file,questlist.dat,46
35,1,Collect 10 Devil Soldier's Spears from the Devil Soldier Spear and bring them to Lim-Gang in Temporary Fort of Geum-Ohee Castle.,"[{""item_id"":""216"",""count"":""10""}]",bango-file,questlist.dat,47
9007,1,Eliminate the Devil Troops that are absorbing the green. Get the Green Crystal of Doggebi Forest and give it to Jae-Ga.,"[{""item_id"":""448"",""count"":""1""}]",bango-file,questlist.dat,48
36,1,"To-Woo worries about his son, Hyun-Woong. To-Woo has a disease and he can't look around for his son. Look for his son for To-Woo.",[],bango-file,questlist.dat,49
36,2,"Hyun-Woong was killed when he seek the mountain for his father's medicine. But he still worries about his father though he has turned into a ghost. It was him who has been brought the medicine and meats to his father. However one day, the demons stole his meats and medicines. Bring the demon's head to Hyun-Woong. It is wandering around the abandoned fort.","[{""item_id"":""335"",""count"":""1""}]",bango-file,questlist.dat,49
36,3,Hyun-Woong doesn't want his father to know about his death. He just wants his father think that he travels around the world. Go to tell the father about Hyun-Woong.,[],bango-file,questlist.dat,49
39,1,Bring 100 Devil Troop of Pain's Masks to Woo-Joong in Temporary Fort of Geum-Ohee Castle. The Devil Troop of Pain is in the Forest of Statues.,"[{""item_id"":""346"",""count"":""100""}]",bango-file,questlist.dat,50
38,1,"The man who introduced himself as the chief of the Volunteer Army of Justice asks you for a help. He want you to investigate Hong-Joon. First, find Hawoo-Go the devoted retainer of Hong-Joon. Hawoo-Go is in the Village of Narootuh.",[],bango-file,questlist.dat,51
38,2,Hawoo-Go is forced to say that he gave Hong-Joon's secret letter to Ma-Yong. It was correct that Hong-Joon is holding the power of the market. I just took the Hong-Joon's secret letter. Please get this to Ma-Yong. And find the transaction of trading between Hong-Joon and Ma-Yong. Ma-Yong is at Guem-Oh Mine.,"[{""item_id"":""340"",""count"":""1""}]",bango-file,questlist.dat,51
38,3,"Because Ma-Yong thinks you're the secret messenger of Hong-Joon, Ma-Yong give you the feedback for the secret letter. Now it's been cleared that Hong-Joon gave the money Ma-Yong for monopoly of market. Inform this fact to Gi-Jung, the chief of the Volunteer Army of Justice.",[],bango-file,questlist.dat,51
38,4,"When you met Gi-Jung, Gi-Jung tells you that Ma-Yong and Hong-Joon found out relationship between you and Gi-Jung. And they sent 5 assassins to Gi-Jung. Now, find the assassins and bring their heads to Gi-Jung.","[{""item_id"":""341"",""count"":""1""},{""item_id"":""342"",""count"":""1""},{""item_id"":""343"",""count"":""1""},{""item_id"":""344"",""count"":""1""},{""item_id"":""345"",""count"":""1""}]",bango-file,questlist.dat,51
40,1,Bring 100 Devil Troop of Greed's Masks to Joa-Ill in Temporary Fort of Geum-Ohee Castle. The Devil Troop of Greed is in the Forest of Statues.,"[{""item_id"":""347"",""count"":""100""}]",bango-file,questlist.dat,52
41,1,Bring 100 Devil Troop of Jealousy's Masks to Geun-Pyung in Temporary Fort of Geum-Ohee Castle. The Devil Troop of Jealousy is in the Forest of Statues.,"[{""item_id"":""348"",""count"":""100""}]",bango-file,questlist.dat,53
45,1,"First, go to the villagers and say he's not the murderer, and meet the Yong-Chun's friend, Ma-Gill in Temporary Fort of Geum-Ohee Castle. But Ma-Gill believes that Seoung-Gill killed Yong-Chun.",[],bango-file,questlist.dat,54
45,2,Ma-Gill didn't listen to you and he just yelled at you. Talk to Seoung-Gill about the situation.,[],bango-file,questlist.dat,54
45,3,Seoung-Gill got disheartened as he couldn't clear his dishonor. But he let you know some pieces of information about the real murderer. The murderer must be around the South Beach of Guem-Ohee Castle.,"[{""item_id"":""357"",""count"":""1""},{""item_id"":""358"",""count"":""1""}]",bango-file,questlist.dat,54
45,4,You brought Yong-Chun's head skin and the secret letter to Seoung-Gill. Surprisingly the name of Ma-Gill is on the letter. Ma-Gill loved Yong-Chun's wife and finally he asked an assassin to kill Yong-Chun. Tell all these stories to Seung-Gill. And go back to Ma-Gill.,"[{""item_id"":""357"",""count"":""1""},{""item_id"":""358"",""count"":""1""}]",bango-file,questlist.dat,54
45,5,Ma-Gill decided to confess what he had done. Go back to Seung-Gill again and tell him about it.,[],bango-file,questlist.dat,54
45,6,You brought Yong-Chun's head skin to Seoung-Gill. Show this to Ma-Gill in Temporary Fort of Geum-Ohee Castle.,[],bango-file,questlist.dat,54
45,7,"Ma-Gill found out who the real murderer was, and he apologized to Seung-Gill. Seung-Gill must want to hear about this news and will be delighted.",[],bango-file,questlist.dat,54
42,1,Bring 100 Devil Troop of Hatred's Masks to Dan-Joong in Temporary Fort of Geum-Ohee Castle. The Devil Troop of Hatred is in the Forest of Statues.,"[{""item_id"":""349"",""count"":""100""}]",bango-file,questlist.dat,55
46,1,Devil Troop of Hatred took Hak-Goo's rope away. Help Hak-Goo out. He's so afraid.,"[{""item_id"":""359"",""count"":""1""}]",bango-file,questlist.dat,56
9008,1,"Jae-Ga tells you that the Doggebi Master needs your help. According to Jae-Ga, Doggebi Master won't harm you. He's at the Forsaken Fort which in the Forest of Statues. Meet the Master Doggebi.",[],bango-file,questlist.dat,57
9008,2,"Master Doggebi tells that Doggebis are turned bad by the Angry Doggebi Troop. They must be purified. Take the Spirit of Doggebi of Monster Face, the Spirit of Doggebi with a Gong, Spirit of Drunken Doggebi, Spirit of Doggebi with a Mask of Black Crow, Spirit of Doggebi with a Mask of Black Panther, Spirit of Giant Doggebi, and Spirit of Guardian of Doggebi to the Master Doggebi.","[{""item_id"":""449"",""count"":""1""},{""item_id"":""450"",""count"":""1""},{""item_id"":""451"",""count"":""1""},{""item_id"":""452"",""count"":""1""},{""item_id"":""453"",""count"":""1""},{""item_id"":""454"",""count"":""1""},{""item_id"":""455"",""count"":""1""}]",bango-file,questlist.dat,57
9008,3,"For stopping the Angry Doggebi Troop's action, the chief of the Angry Doggebi Troop must be eliminated. The chief of Troop of Angry Doggebi give up the eternal life for obtaining the strong power. Bring his dead body to the Master Doggebi. He's near by the pavilion in the south  beach of the Forest of Statues.","[{""item_id"":""456"",""count"":""1""}]",bango-file,questlist.dat,57
43,1,Bring 100 Devil Troop of Madness's Masks to Choi-Choong in Temporary Fort of Geum-Ohee Castle. The Devil Troop of Madness is in the Forest of Statues.,"[{""item_id"":""350"",""count"":""100""}]",bango-file,questlist.dat,58
44,1,The Doggebi said that the Devil Troop of Anger took the doll away. Please take the doll back from Devil Troop of Anger and bring it to the Doggebi.,"[{""item_id"":""355"",""count"":""1""}]",bango-file,questlist.dat,59
44,2,The Doggebi is so sad that the doll is broken. Meet the doll craftsman of Gill-Jun for the Doggebi. He may fix the doll.,"[{""item_id"":""355"",""count"":""1""}]",bango-file,questlist.dat,59
44,3,The doll fixed by Gill-Jun now looks good. The Doggebi will like it. Give the doll back to the Doggebi.,"[{""item_id"":""356"",""count"":""1""}]",bango-file,questlist.dat,59
47,1,"Hunt the Doggebi with Monster Face and get the Broom and 5 bottles of Blood of Big Handed. And then, bring them to the Limper.","[{""item_id"":""387"",""count"":""5""},{""item_id"":""389"",""count"":""1""}]",bango-file,questlist.dat,60
48,1,"Hunt the Doggebi with a Gong and collect the Broom and 5 bottles of Blood of Big Handed. And then, bring them to the blind man.","[{""item_id"":""387"",""count"":""5""},{""item_id"":""390"",""count"":""1""}]",bango-file,questlist.dat,61
49,1,"Hunt the Drunken Doggebi and collect the Broom and 5 bottles of Blood of Big Handed. And then, give them to the coward.","[{""item_id"":""387"",""count"":""5""},{""item_id"":""391"",""count"":""1""}]",bango-file,questlist.dat,62
50,1,"Hunt the Doggebi with a Mask of Black Crow and collect the Broom and 5 bottles of Blood of Big Handed. And then, give them to the hunchback.","[{""item_id"":""387"",""count"":""5""},{""item_id"":""392"",""count"":""1""}]",bango-file,questlist.dat,63
51,1,"Hunt the Doggebi with a Mask of Black Panther and collect the Broom and 5 bottles of Blood of Big Handed. And then, give them to the deaf man.","[{""item_id"":""387"",""count"":""5""},{""item_id"":""393"",""count"":""1""}]",bango-file,questlist.dat,64
9009,1,Return to Jae-Ga and report your missions from the Master Doggebi. Jae-Ga will give you a new government position but you must be level 50 or above.,[],bango-file,questlist.dat,65
9009,2,You got the new government position and ready for a new journey. But you need a rest before that. Get ready for the next journey while you're resting. [Next Event : Lv 70],[],bango-file,questlist.dat,65
9009,3,You got the new government position and ready for a new journey. But you need a rest before that. Get ready for the next journey while you're resting.,[],bango-file,questlist.dat,65
52,1,"Hunt the Giant Doggebis and collect the Broom and 5 bottles of Blood of Blood of Big Handed. And then, give them to the one-armed man.","[{""item_id"":""387"",""count"":""5""},{""item_id"":""394"",""count"":""1""}]",bango-file,questlist.dat,66
53,1,"Hunt the Guardian Doggebi and collect the Stone and 5 bottles of Blood of Water Dragon. And then, bring them to the manager near Oh-Do bridge.","[{""item_id"":""388"",""count"":""5""},{""item_id"":""395"",""count"":""1""}]",bango-file,questlist.dat,67
58,1,"Ja-Sang in Temporary Fort of Geum-Ohee Castle got a report about the Spirits of The Royal Tomb. Something is happening in the Royal Tomb, located southwest from The Pub of the Giant Bird. Meet the Tomb manager and find out what's happening in the Tomb.",[],bango-file,questlist.dat,68
58,2,Gang-Man's job is to take care of the Royal Tomb but he escaped from the Tomb when the Spirits came out from the Tomb. He must seal them and return back to the Tomb. Help him to collect 5 Skeleton Warrior with Sword's Head.,"[{""item_id"":""432"",""count"":""5""}]",bango-file,questlist.dat,68
59,1,The Skeleton Warriors with the Spears were the best fighters before they died. They keep the Tomb even after they died. Seal them and collect the 5 Ribs for Gang-Man.,"[{""item_id"":""433"",""count"":""5""}]",bango-file,questlist.dat,69
60,1,"It's the tradition that when the King died, he's buried with the ministers alive because people believe that the ministers can support the king in the other world. The ministers' spirits are in the books they wear on their heads. Eliminate them and collect 5 books to Gang-Man.","[{""item_id"":""434"",""count"":""5""}]",bango-file,questlist.dat,70
61,1,"It's the tradition that when the King died, he's buried with the maid alive because people believe that the maids can support the king in the other world. The maids' spirits are in the lutes. Eliminate them and collect 5 lutes to Gang-Man.","[{""item_id"":""435"",""count"":""5""}]",bango-file,questlist.dat,71
62,1,"It's the tradition that when the King died, he's buried with the Tomb Keepers alive because it represents that the king has the power. The spirits of the keepers are in their swords. Collect 5 of their swords to Gang-Man.","[{""item_id"":""436"",""count"":""5""}]",bango-file,questlist.dat,72
63,1,"It's the tradition that when the King died, he's buried with the Tomb Keepers alive because it represents that the king has the power. The spirits of the keepers are in their shields. Collect 5 of their shields to Gang-Man.","[{""item_id"":""437"",""count"":""5""}]",bango-file,questlist.dat,73
