city_key,town,npc_id,npc_name,map_x_percent,map_y_percent,distinct_quest_count,route_ordinals,route_names,legacy_names,display_names,effective_levels,ordered_uses_json,chain_status
fort,Temporary Fort of Geum-Ohee Castle,20,Soldier at Fort of Geum-Ohee Castle [Jae-Ga],55.4,29.0,3,32|43|61,Event Quest 9 — Trinket’s Quest|Event Quest 14 — Devil Troops of Absorbing Green|Event Quest 20 — 2nd Job Change,Entering the Government Service /a|Green Crystal of Doggebi Forest|,Entering the Government Service /a|Green Crystal of Doggebi Forest|Event Quest 20 — 2nd Job Change,30|40|50,"[{""route_ordinal"":32,""route_name"":""Event Quest 9 — Trinket’s Quest"",""step_ordinal"":5,""label"":""Talk""},{""route_ordinal"":32,""route_name"":""Event Quest 9 — Trinket’s Quest"",""step_ordinal"":9,""label"":""Talk""},{""route_ordinal"":32,""route_name"":""Event Quest 9 — Trinket’s Quest"",""step_ordinal"":11,""label"":""Turn in (talk twice)""},{""route_ordinal"":43,""route_name"":""Event Quest 14 — Devil Troops of Absorbing Green"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":43,""route_name"":""Event Quest 14 — Devil Troops of Absorbing Green"",""step_ordinal"":3,""label"":""Turn in""},{""route_ordinal"":61,""route_name"":""Event Quest 20 — 2nd Job Change"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":61,""route_name"":""Event Quest 20 — 2nd Job Change"",""step_ordinal"":3,""label"":""Talk again""}]",shared-npc-route-order
fort,Temporary Fort of Geum-Ohee Castle,23,Farmer Who Lost His Farmland,59.6,33.2,1,32,Event Quest 9 — Trinket’s Quest,Entering the Government Service /a,Entering the Government Service /a,30,"[{""route_ordinal"":32,""route_name"":""Event Quest 9 — Trinket’s Quest"",""step_ordinal"":6,""label"":""Talk""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,36,[Ja-Sang],70.6,33.6,1,64,Quest 53,The Dead People Around The Tomb(1),The Dead People Around The Tomb(1),53,"[{""route_ordinal"":64,""route_name"":""Quest 53"",""step_ordinal"":1,""label"":""Talk""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,41,Doll Craftsman [Gill-Jun],41.1,42.1,1,54,Quest 43,Broken Doll of Doggebi,Broken Doll of Doggebi,45,"[{""route_ordinal"":54,""route_name"":""Quest 43"",""step_ordinal"":4,""label"":""Talk""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,44,Red Flag’s Leader [Gee-Jung],26.8,40.2,1,46,Quest 37,Assassins,Assassins,42,"[{""route_ordinal"":46,""route_name"":""Quest 37"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":46,""route_name"":""Quest 37"",""step_ordinal"":4,""label"":""Report""},{""route_ordinal"":46,""route_name"":""Quest 37"",""step_ordinal"":10,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,45,Fort Guard [Dan-Bok],7.2,28.1,1,37,Quest 29,Ghost of Friends,Ghost of Friends,35,"[{""route_ordinal"":37,""route_name"":""Quest 29"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":37,""route_name"":""Quest 29"",""step_ordinal"":3,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,49,Fort Guard [Heung-Pae],3.8,44.2,1,33,Quest 25,Hunting Ghost,Hunting Ghost,31,"[{""route_ordinal"":33,""route_name"":""Quest 25"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":33,""route_name"":""Quest 25"",""step_ordinal"":3,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,5,Smith Who Lost His Family,39.4,23.8,1,32,Event Quest 9 — Trinket’s Quest,Entering the Government Service /a,Entering the Government Service /a,30,"[{""route_ordinal"":32,""route_name"":""Event Quest 9 — Trinket’s Quest"",""step_ordinal"":8,""label"":""Talk""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,50,To-Woo,14.3,47.3,1,44,Quest 35,Dutiful Son and His Father,Dutiful Son and His Father,41,"[{""route_ordinal"":44,""route_name"":""Quest 35"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":44,""route_name"":""Quest 35"",""step_ordinal"":5,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,51,Mother of Moon-Hee,16.8,48.9,1,30,Quest 24,Moon-Hee Who Became a Ghost,Moon-Hee Who Became a Ghost,30,"[{""route_ordinal"":30,""route_name"":""Quest 24"",""step_ordinal"":1,""label"":""Talk""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,52,Fort Guard [Soo-Go],13.8,50.8,1,36,Quest 28,Ghost of Blacksmith,Ghost of Blacksmith,34,"[{""route_ordinal"":36,""route_name"":""Quest 28"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":36,""route_name"":""Quest 28"",""step_ordinal"":3,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,59,Hyun-Choong,24.5,63.7,1,32,Event Quest 9 — Trinket’s Quest,Entering the Government Service /a,Entering the Government Service /a,30,"[{""route_ordinal"":32,""route_name"":""Event Quest 9 — Trinket’s Quest"",""step_ordinal"":1,""label"":""Talk""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,6,Parent Who Lost Their Son,60.7,21.6,1,32,Event Quest 9 — Trinket’s Quest,Entering the Government Service /a,Entering the Government Service /a,30,"[{""route_ordinal"":32,""route_name"":""Event Quest 9 — Trinket’s Quest"",""step_ordinal"":7,""label"":""Talk""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,60,Chief Guard [Duk-Yoon],27.9,64.5,1,34,Quest 26,Bead of Ghost,Bead of Ghost,32,"[{""route_ordinal"":34,""route_name"":""Quest 26"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":34,""route_name"":""Quest 26"",""step_ordinal"":3,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,64,[Ma-Gill],39.9,56.2,1,48,Quest 39,Yong-Chun killed by Assasin,Yong-Chun killed by Assasin,43,"[{""route_ordinal"":48,""route_name"":""Quest 39"",""step_ordinal"":2,""label"":""Talk""},{""route_ordinal"":48,""route_name"":""Quest 39"",""step_ordinal"":6,""label"":""Turn in""}]",single-quest
geum,Geum-Oh Mine,1,HyungJoo-SeungGong,20.2,7.9,3,15|18|31,Event Quest 5|Event Quest 5 (turn-in)|Event Quest 8 — 1st Job Change,||Entering the Government Service /a,Event Quest 5|Event Quest 5 (turn-in)|Entering the Government Service /a,1|1|30,"[{""route_ordinal"":15,""route_name"":""Event Quest 5"",""step_ordinal"":1,""label"":""Accept""},{""route_ordinal"":18,""route_name"":""Event Quest 5 (turn-in)"",""step_ordinal"":1,""label"":""Turn in 40x \""Big Handed Warrior’s Head\""""},{""route_ordinal"":31,""route_name"":""Event Quest 8 — 1st Job Change"",""step_ordinal"":1,""label"":""Talk""}]",shared-npc-route-order
geum,Geum-Oh Mine,2,Miner (Joo-Nong),19.1,9.9,3,13|19|21,Quest 10|Quest 13|Quest 15,Finding Alcohol for Joo-Nong|Finding Yea-jin's Father|Finding the Statue of Protection,Finding Alcohol for Joo-Nong|Finding Yea-jin's Father|Finding the Statue of Protection,14|17|19,"[{""route_ordinal"":13,""route_name"":""Quest 10"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":13,""route_name"":""Quest 10"",""step_ordinal"":5,""label"":""Turn in""},{""route_ordinal"":19,""route_name"":""Quest 13"",""step_ordinal"":2,""label"":""Talk""},{""route_ordinal"":19,""route_name"":""Quest 13"",""step_ordinal"":4,""label"":""Report""},{""route_ordinal"":21,""route_name"":""Quest 15"",""step_ordinal"":2,""label"":""Talk""}]",shared-npc-route-order
geum,Geum-Oh Mine,23,Ma-Yong,24.3,19.8,1,46,Quest 37,Assassins,Assassins,42,"[{""route_ordinal"":46,""route_name"":""Quest 37"",""step_ordinal"":3,""label"":""Talk""}]",single-quest
geum,Geum-Oh Mine,24,[Won-Ga],26.1,19.2,1,22,Quest 16,Ja-Gan's Good Conduct,Ja-Gan's Good Conduct,20,"[{""route_ordinal"":22,""route_name"":""Quest 16"",""step_ordinal"":4,""label"":""Talk""}]",single-quest
geum,Geum-Oh Mine,28,"Master, Jin-Pyung",89.4,56.1,1,31,Event Quest 8 — 1st Job Change,Entering the Government Service /a,Entering the Government Service /a,30,"[{""route_ordinal"":31,""route_name"":""Event Quest 8 — 1st Job Change"",""step_ordinal"":3,""label"":""Talk""},{""route_ordinal"":31,""route_name"":""Event Quest 8 — 1st Job Change"",""step_ordinal"":5,""label"":""Turn in — pick your job""}]",single-quest
geum,Geum-Oh Mine,29,"Guard (Yang-Do / ""Jang-Do"")",29.0,80.2,2,20|35,Quest 14|Quest 27,Collecting Yang-Do's Bamboo Poles|Helping Yang-Do,Collecting Yang-Do's Bamboo Poles|Helping Yang-Do,18|33,"[{""route_ordinal"":20,""route_name"":""Quest 14"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":20,""route_name"":""Quest 14"",""step_ordinal"":3,""label"":""Report""},{""route_ordinal"":20,""route_name"":""Quest 14"",""step_ordinal"":5,""label"":""Turn in""},{""route_ordinal"":35,""route_name"":""Quest 27"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":35,""route_name"":""Quest 27"",""step_ordinal"":3,""label"":""Turn in""}]",shared-npc-route-order
geum,Geum-Oh Mine,4,Miner (Gwee-Sik),23.5,12.5,4,8|16|21|38,Quest 5|Quest 11|Quest 15|Quest 30,"Farmer, Noo-Woong's Favor|Undelivered Rice Cake|Finding the Statue of Protection|Joong-Gwon's Disease","Farmer, Noo-Woong's Favor|Undelivered Rice Cake|Finding the Statue of Protection|Joong-Gwon's Disease",8|15|19|36,"[{""route_ordinal"":8,""route_name"":""Quest 5"",""step_ordinal"":2,""label"":""Talk""},{""route_ordinal"":8,""route_name"":""Quest 5"",""step_ordinal"":4,""label"":""Report""},{""route_ordinal"":16,""route_name"":""Quest 11"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":16,""route_name"":""Quest 11"",""step_ordinal"":5,""label"":""Turn in""},{""route_ordinal"":21,""route_name"":""Quest 15"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":21,""route_name"":""Quest 15"",""step_ordinal"":4,""label"":""Turn in""},{""route_ordinal"":38,""route_name"":""Quest 30"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":38,""route_name"":""Quest 30"",""step_ordinal"":3,""label"":""Turn in""}]",shared-npc-route-order
jook,Cargo Station,1,Guard (Won-Jung),45.0,4.4,2,10|27,Quest 7|Quest 21,Won-jung and Yea-jin's Love|Collecting Clothes that are Stained with Blood,Won-jung and Yea-jin's Love|Collecting Clothes that are Stained with Blood,11|27,"[{""route_ordinal"":10,""route_name"":""Quest 7"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":10,""route_name"":""Quest 7"",""step_ordinal"":5,""label"":""Turn in""},{""route_ordinal"":27,""route_name"":""Quest 21"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":27,""route_name"":""Quest 21"",""step_ordinal"":3,""label"":""Turn in""}]",shared-npc-route-order
jook,Cargo Station,10,General (Sae-Won),40.8,31.3,7,4|11|17|23|24|25|29,Step 3 — Cargo trip|Quest 8|Quest 12|Quest 17|Quest 18|Quest 19|Quest 23,|Sweeping the Demon Carcass Scavenger|Wa-Ryu's Talisman|Getting Red Flags|Beheading the Demon Water Dragon|Demon's Drum|Hunting the Demon Mad Knight,Step 3 — Cargo trip|Sweeping the Demon Carcass Scavenger|Wa-Ryu's Talisman|Getting Red Flags|Beheading the Demon Water Dragon|Demon's Drum|Hunting the Demon Mad Knight,1|12|16|21|23|25|29,"[{""route_ordinal"":4,""route_name"":""Step 3 — Cargo trip"",""step_ordinal"":2,""label"":""Talk — Quest 3""},{""route_ordinal"":11,""route_name"":""Quest 8"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":11,""route_name"":""Quest 8"",""step_ordinal"":3,""label"":""Turn in""},{""route_ordinal"":17,""route_name"":""Quest 12"",""step_ordinal"":3,""label"":""Turn in \""Wa-Ryu’s Talisman\""""},{""route_ordinal"":23,""route_name"":""Quest 17"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":23,""route_name"":""Quest 17"",""step_ordinal"":3,""label"":""Turn in""},{""route_ordinal"":24,""route_name"":""Quest 18"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":24,""route_name"":""Quest 18"",""step_ordinal"":3,""label"":""Turn in""},{""route_ordinal"":25,""route_name"":""Quest 19"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":25,""route_name"":""Quest 19"",""step_ordinal"":3,""label"":""Turn in""},{""route_ordinal"":29,""route_name"":""Quest 23"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":29,""route_name"":""Quest 23"",""step_ordinal"":3,""label"":""Turn in""}]",shared-npc-route-order
jook,Cargo Station,17,Farmer (Nu-Woong),51.3,40.3,2,8|9,Quest 5|Quest 6 + Event Quest 3 (combo),"Farmer, Noo-Woong's Favor|Farmer, Ha-Jik's Favor","Farmer, Noo-Woong's Favor|Farmer, Ha-Jik's Favor",8|10,"[{""route_ordinal"":8,""route_name"":""Quest 5"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":8,""route_name"":""Quest 5"",""step_ordinal"":5,""label"":""Turn in""},{""route_ordinal"":9,""route_name"":""Quest 6 + Event Quest 3 (combo)"",""step_ordinal"":2,""label"":""Talk""}]",shared-npc-route-order
jook,Cargo Station,18,General [In-Pill],75.6,41.3,1,9,Quest 6 + Event Quest 3 (combo),"Farmer, Ha-Jik's Favor","Farmer, Ha-Jik's Favor",10,"[{""route_ordinal"":9,""route_name"":""Quest 6 + Event Quest 3 (combo)"",""step_ordinal"":3,""label"":""Talk""},{""route_ordinal"":9,""route_name"":""Quest 6 + Event Quest 3 (combo)"",""step_ordinal"":7,""label"":""Report""},{""route_ordinal"":9,""route_name"":""Quest 6 + Event Quest 3 (combo)"",""step_ordinal"":11,""label"":""Turn in""}]",single-quest
jook,Cargo Station,23,Ja-Gan,49.1,65.3,1,22,Quest 16,Ja-Gan's Good Conduct,Ja-Gan's Good Conduct,20,"[{""route_ordinal"":22,""route_name"":""Quest 16"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":22,""route_name"":""Quest 16"",""step_ordinal"":3,""label"":""Report""},{""route_ordinal"":22,""route_name"":""Quest 16"",""step_ordinal"":5,""label"":""Turn in""}]",single-quest
jook,Cargo Station,25,Wa-Ryu,31.9,73.4,1,17,Quest 12,Wa-Ryu's Talisman,Wa-Ryu's Talisman,16,"[{""route_ordinal"":17,""route_name"":""Quest 12"",""step_ordinal"":1,""label"":""Talk""}]",single-quest
jook,Cargo Station,5,Chief Guard (Guh-Sosun),79.9,17.5,3,12|26|28,Quest 9|Quest 20|Quest 22,Finding Tonic|Collecting Armors|Materials of Winter Clothes,Finding Tonic|Collecting Armors|Materials of Winter Clothes,13|26|28,"[{""route_ordinal"":12,""route_name"":""Quest 9"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":12,""route_name"":""Quest 9"",""step_ordinal"":4,""label"":""Turn in""},{""route_ordinal"":26,""route_name"":""Quest 20"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":26,""route_name"":""Quest 20"",""step_ordinal"":3,""label"":""Turn in""},{""route_ordinal"":28,""route_name"":""Quest 22"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":28,""route_name"":""Quest 22"",""step_ordinal"":3,""label"":""Turn in""}]",shared-npc-route-order
jook,Cargo Station,6,Nu-Rook,54.0,24.5,1,4,Step 3 — Cargo trip,,Step 3 — Cargo trip,1,"[{""route_ordinal"":4,""route_name"":""Step 3 — Cargo trip"",""step_ordinal"":1,""label"":""Talk — Quest 2""}]",single-quest
jook,Cargo Station,9,Woman (Ok-Jin),29.5,31.6,2,13|20,Quest 10|Quest 14,Finding Alcohol for Joo-Nong|Collecting Yang-Do's Bamboo Poles,Finding Alcohol for Joo-Nong|Collecting Yang-Do's Bamboo Poles,14|18,"[{""route_ordinal"":13,""route_name"":""Quest 10"",""step_ordinal"":2,""label"":""Talk""},{""route_ordinal"":13,""route_name"":""Quest 10"",""step_ordinal"":4,""label"":""Report""},{""route_ordinal"":20,""route_name"":""Quest 14"",""step_ordinal"":4,""label"":""Talk""}]",shared-npc-route-order
naroo,Narootuh,17,[Ha-Wogoo],41.5,21.4,1,46,Quest 37,Assassins,Assassins,42,"[{""route_ordinal"":46,""route_name"":""Quest 37"",""step_ordinal"":2,""label"":""Talk""}]",single-quest
naroo,Narootuh,20,Ancient-Animal Keeper [Chang],61.0,21.2,1,14,Egg Quest,Ancients Animals,Ancients Animals,15,"[{""route_ordinal"":14,""route_name"":""Egg Quest"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":14,""route_name"":""Egg Quest"",""step_ordinal"":3,""label"":""Turn in, pick your animal""}]",single-quest
naroo,Narootuh,21,Chief Guard (Sea-Geun),84.3,18.5,2,1|3,Step 0 — Accept everything first|Step 2 — Talk to people in Narootuh again,|,Step 0 — Accept everything first|Step 2 — Talk to people in Narootuh again,1|1,"[{""route_ordinal"":1,""route_name"":""Step 0 — Accept everything first"",""step_ordinal"":7,""label"":""Accept Quest 1""},{""route_ordinal"":3,""route_name"":""Step 2 — Talk to people in Narootuh again"",""step_ordinal"":6,""label"":""Turn in — Quest 1""}]",shared-npc-route-order
naroo,Narootuh,23,Farmer (Ha-Jik),60.1,24.3,2,9|16,Quest 6 + Event Quest 3 (combo)|Quest 11,"Farmer, Ha-Jik's Favor|Undelivered Rice Cake","Farmer, Ha-Jik's Favor|Undelivered Rice Cake",10|15,"[{""route_ordinal"":9,""route_name"":""Quest 6 + Event Quest 3 (combo)"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":9,""route_name"":""Quest 6 + Event Quest 3 (combo)"",""step_ordinal"":4,""label"":""Report""},{""route_ordinal"":9,""route_name"":""Quest 6 + Event Quest 3 (combo)"",""step_ordinal"":12,""label"":""Turn in""},{""route_ordinal"":16,""route_name"":""Quest 11"",""step_ordinal"":2,""label"":""Talk""},{""route_ordinal"":16,""route_name"":""Quest 11"",""step_ordinal"":4,""label"":""Report""}]",shared-npc-route-order
naroo,Narootuh,24,Farmer (Ji-Hun),51.2,24.6,1,7,Quest 4,"General, Poong-seup's Missing","General, Poong-seup's Missing",6,"[{""route_ordinal"":7,""route_name"":""Quest 4"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":7,""route_name"":""Quest 4"",""step_ordinal"":8,""label"":""Turn in""}]",single-quest
naroo,Narootuh,26,Chun-Sooin,40.4,25.8,2,1|3,Step 0 — Accept everything first|Step 2 — Talk to people in Narootuh again,|,Step 0 — Accept everything first|Step 2 — Talk to people in Narootuh again,1|1,"[{""route_ordinal"":1,""route_name"":""Step 0 — Accept everything first"",""step_ordinal"":3,""label"":""Accept Event Quest 1""},{""route_ordinal"":3,""route_name"":""Step 2 — Talk to people in Narootuh again"",""step_ordinal"":2,""label"":""Turn in — Event Quest 1""}]",shared-npc-route-order
naroo,Narootuh,35,Chief Guard (Joo-Jimin),40.6,42.7,1,7,Quest 4,"General, Poong-seup's Missing","General, Poong-seup's Missing",6,"[{""route_ordinal"":7,""route_name"":""Quest 4"",""step_ordinal"":2,""label"":""Talk""},{""route_ordinal"":7,""route_name"":""Quest 4"",""step_ordinal"":5,""label"":""Report""}]",single-quest
naroo,Narootuh,51,Chief Guard (Mak-Ansoo),64.4,50.9,3,1|3|5,Step 0 — Accept everything first|Step 2 — Talk to people in Narootuh again|Step 4 — Back to Narootuh to finish up,||,Step 0 — Accept everything first|Step 2 — Talk to people in Narootuh again|Step 4 — Back to Narootuh to finish up,1|1|1,"[{""route_ordinal"":1,""route_name"":""Step 0 — Accept everything first"",""step_ordinal"":1,""label"":""Accept Quest 3""},{""route_ordinal"":3,""route_name"":""Step 2 — Talk to people in Narootuh again"",""step_ordinal"":1,""label"":""Report — Quest 3 (not done yet, needs a Cargo trip)""},{""route_ordinal"":5,""route_name"":""Step 4 — Back to Narootuh to finish up"",""step_ordinal"":2,""label"":""Turn in — Quest 3""}]",shared-npc-route-order
naroo,Narootuh,52,Boatman (Gwang-Chun),45.4,62.4,3,1|5|9,Step 0 — Accept everything first|Step 4 — Back to Narootuh to finish up|Quest 6 + Event Quest 3 (combo),"||Farmer, Ha-Jik's Favor","Step 0 — Accept everything first|Step 4 — Back to Narootuh to finish up|Farmer, Ha-Jik's Favor",1|1|10,"[{""route_ordinal"":1,""route_name"":""Step 0 — Accept everything first"",""step_ordinal"":2,""label"":""Accept Quest 2""},{""route_ordinal"":5,""route_name"":""Step 4 — Back to Narootuh to finish up"",""step_ordinal"":1,""label"":""Turn in — Quest 2""},{""route_ordinal"":9,""route_name"":""Quest 6 + Event Quest 3 (combo)"",""step_ordinal"":5,""label"":""Talk""},{""route_ordinal"":9,""route_name"":""Quest 6 + Event Quest 3 (combo)"",""step_ordinal"":8,""label"":""Report""}]",shared-npc-route-order
naroo,Narootuh,55,[Sae-Ryu],30.7,71.0,2,7|9,Quest 4|Quest 6 + Event Quest 3 (combo),"General, Poong-seup's Missing|Farmer, Ha-Jik's Favor","General, Poong-seup's Missing|Farmer, Ha-Jik's Favor",6|10,"[{""route_ordinal"":7,""route_name"":""Quest 4"",""step_ordinal"":3,""label"":""Accept Event Quest 3""},{""route_ordinal"":7,""route_name"":""Quest 4"",""step_ordinal"":6,""label"":""Report""},{""route_ordinal"":7,""route_name"":""Quest 4"",""step_ordinal"":7,""label"":""Report again""},{""route_ordinal"":9,""route_name"":""Quest 6 + Event Quest 3 (combo)"",""step_ordinal"":9,""label"":""Talk""}]",shared-npc-route-order
naroo,Narootuh,6,Woman (Yae-Jin),53.7,7.5,3,10|12|19,Quest 7|Quest 9|Quest 13,Won-jung and Yea-jin's Love|Finding Tonic|Finding Yea-jin's Father,Won-jung and Yea-jin's Love|Finding Tonic|Finding Yea-jin's Father,11|13|17,"[{""route_ordinal"":10,""route_name"":""Quest 7"",""step_ordinal"":2,""label"":""Talk""},{""route_ordinal"":10,""route_name"":""Quest 7"",""step_ordinal"":4,""label"":""Report""},{""route_ordinal"":12,""route_name"":""Quest 9"",""step_ordinal"":2,""label"":""Talk""},{""route_ordinal"":12,""route_name"":""Quest 9"",""step_ordinal"":3,""label"":""Hand in stockpiled Milk Wetch/White Peony""},{""route_ordinal"":19,""route_name"":""Quest 13"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":19,""route_name"":""Quest 13"",""step_ordinal"":5,""label"":""Turn in""}]",shared-npc-route-order
naroo,Narootuh,eg1,Guard (G5 Weapon),34.7,9.9,2,1|3,Step 0 — Accept everything first|Step 2 — Talk to people in Narootuh again,|,Step 0 — Accept everything first|Step 2 — Talk to people in Narootuh again,1|1,"[{""route_ordinal"":1,""route_name"":""Step 0 — Accept everything first"",""step_ordinal"":4,""label"":""Accept G5 Weapon quest""},{""route_ordinal"":3,""route_name"":""Step 2 — Talk to people in Narootuh again"",""step_ordinal"":3,""label"":""Turn in — G5 Weapon""}]",shared-npc-route-order
naroo,Narootuh,eg2,Guard (G8 Chest),38.9,8.8,2,1|3,Step 0 — Accept everything first|Step 2 — Talk to people in Narootuh again,|,Step 0 — Accept everything first|Step 2 — Talk to people in Narootuh again,1|1,"[{""route_ordinal"":1,""route_name"":""Step 0 — Accept everything first"",""step_ordinal"":5,""label"":""Accept G8 Chest quest""},{""route_ordinal"":3,""route_name"":""Step 2 — Talk to people in Narootuh again"",""step_ordinal"":4,""label"":""Turn in — G8 Chest""}]",shared-npc-route-order
