route_ordinal,stage_ordinal,stage_id,stage_title,stage_level,stage_where,stage_combo,quest_ordinal_in_stage,route_name,route_type,route_number,route_level,minimum_level,friend_reward,friend_experience,friend_geons,friend_contribution,friend_skill_points,reward_is_approximate,items_json,monsters_json,steps_json,legacy_type,legacy_id,legacy_name,legacy_match_method,bango_que_id,bango_name,bango_level,bango_experience,bango_contribution,bango_skill_points,bango_prerequisite,bango_steps_raw,match_method,match_score,match_candidates,level_disagrees,experience_disagrees,contribution_disagrees,skill_points_disagree,status,effective_level,effective_experience,effective_contribution,effective_skill_points
11,7,s1-7,Stage 7 — Milk Wetch / White Peony loop + Carcass follow-up,Lv 11-13,Jook-Suh ↔ Narootuh.,,2,Quest 8,Quest,8,Lv 12,12,"2,910 XP, 1 Contribution Point",2910,0,1,0,false,"[""8.png""]","[""ms_m3_01.jpg""]","[{""type"":""talk"",""city"":""jook"",""pin"":""10"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Carcass Scavengers for 25x \""Demon’s Carcass\"" (same camp as Stage 5)""},{""type"":""talk"",""city"":""jook"",""pin"":""10"",""label"":""Turn in""}]",Quest,08,Sweeping the Demon Carcass Scavenger,route-number-to-legacy-name,8,Sweeping the Demon carcass scavenger,12,2600,1,0,3,"The general, Sae-won finally found out what the Demon carcass scavenger is. Hunt the Demon carcass scavenger who revive the demons, and collect 25 carcass for the general, Sae-won in Jook-Suh Cargo Station.|152:25",exact-normalized-name,0.835,,false,true,false,false,matched-disagrees,12,2600,1,0
12,7,s1-7,Stage 7 — Milk Wetch / White Peony loop + Carcass follow-up,Lv 11-13,Jook-Suh ↔ Narootuh.,,3,Quest 9,Quest,9,Lv 13,13,"2,798 XP, 1,000 geons",2798,1000,0,0,false,"[""7.png"",""70.png""]","[""ms_m2_02.jpg""]","[{""type"":""talk"",""city"":""jook"",""pin"":""5"",""label"":""Talk""},{""type"":""talk"",""city"":""naroo"",""pin"":""6"",""label"":""Hand in stockpiled Milk Wetch/White Peony""},{""type"":""talk"",""city"":""jook"",""pin"":""5"",""label"":""Turn in""}]",Quest,09,Finding Tonic,route-number-to-legacy-name,9,Finding Tonic,13,2722,0,0,7,"The chief guard, Guh-Sosun worries about the lack of medicine for injured soldiers. Please get some tonic. The woman [Yae-Jin] in Narootuh village can make tonic.|;Yae-Jin said she could make tonic if she has enough Milk Vetch and White Peony. 12 Milk Vetches and 12 White Peonies from Big handed slaves and give them to Yae-Jin.|153:12,154:12;Give the tonic that Yae-Jin made to the chief guard, Guh-Sosun in Jook-Suh Cargo Station.|144:1",exact-normalized-name,0.829,,false,true,false,false,matched-disagrees,13,2722,0,0
13,8,s1-8,Stage 8 — Demon Soldier’s Teeth,Lv 14,Geum-Oh Mine ↔ Jook-Suh.,,1,Quest 10,Quest,10,Lv 14,14,"4,374 XP, 1 Contribution Point",4374,0,1,0,false,"[""10.png""]","[""ms_m3_02.jpg""]","[{""type"":""talk"",""city"":""geum"",""pin"":""2"",""label"":""Talk""},{""type"":""talk"",""city"":""jook"",""pin"":""9"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Soldiers for 20x \""Demon Soldier’s Teeth\""""},{""type"":""talk"",""city"":""jook"",""pin"":""9"",""label"":""Report""},{""type"":""talk"",""city"":""geum"",""pin"":""2"",""label"":""Turn in""}]",Quest,10,Finding Alcohol for Joo-Nong,route-number-to-legacy-name,10,Finding Alcohol for Joo-Nong,14,3534,1,0,,"The miner, Joo-Nong spend with alcohol everyday because of the demons. Find some alcohol and give him. It's said that the woman [Ok-Jin] in Jook-Suh Cargo Station makes good drinks.|;Ok-Jin who can make best quality drinks in the country asked for revenge for her husband's death. 20 Demon soldier's teeth from Demon soldiers and give them to Ok-Jin.|150:20;Bring the alcohol over from Ok-Jin to Joo-Nong.|145:1",exact-normalized-name,0.821,,false,true,false,false,matched-disagrees,14,3534,1,0
14,9,s1-9,Stage 9 — Egg quest,Lv 15,Narootuh → Jook-Suh → Narootuh.,,1,Egg Quest,Event,0,Lv 15,15,Egg — transforms at grade 11,0,0,0,0,false,"[""egg.png""]","[""ms_m8_01.jpg""]","[{""type"":""talk"",""city"":""naroo"",""pin"":""20"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Naughty Doggebi (Jook-Suh) for \""Keg of Talisman\""""},{""type"":""talk"",""city"":""naroo"",""pin"":""20"",""label"":""Turn in, pick your animal""}]",Event,00,Ancients Animals,egg-route-to-legacy-name,37,"[Mission for Getting Ancient Animal] Doggebi, Chang's Favor",15,0,0,0,,Chang asked you to find a keg of talisman. The keg of talisman was taken by the naughty Doggebi. The naughty Doggebi is near by the village of Jook-Suh Cargo Station.|336:1;Chang wants to give you an ancient animal for a reward. But he has to take care of the animals now. Talk to Chang after a moment.|,registered-name-alias,1.000,,false,false,false,false,matched-agrees-on-parsed-fields,15,0,0,0
15,10,s1-10,Stage 10 — Big Handed Warriors combo,Lv 15-16,Geum-Oh Mine ↔ Narootuh ↔ Jook-Suh.,"Big Handed Blue Warrior drops both Quest 11’s ""Rice Cake"" and (with Red Warrior) Event Quest 5’s ""Big Handed Warrior’s Head"". Big Handed Red Warrior drops Quest 12’s ""Wa-Ryu’s Talisman"". Farm both colors together, then turn in all three.",1,Quest 11,Quest,11,Lv 15,15,"5,125 XP, 1 Skill Point, 600 geons",5125,600,0,1,false,"[""10.png""]","[""ms_m2_04.jpg""]","[{""type"":""talk"",""city"":""geum"",""pin"":""4"",""label"":""Talk""},{""type"":""talk"",""city"":""naroo"",""pin"":""23"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Big Handed Blue Warriors for 25x \""Rice Cake\"" (grab Red Warrior/Head drops too)""},{""type"":""talk"",""city"":""naroo"",""pin"":""23"",""label"":""Report""},{""type"":""talk"",""city"":""geum"",""pin"":""4"",""label"":""Turn in""}]",Quest,11,Undelivered Rice Cake,route-number-to-legacy-name,11,Undelivered Rice Cake,15,4000,0,1,6,Gwee-Sik worries about the lost rice cake. Go to Ha-Jik in Narootuh village and find out what happened.|;Ha-Jik said that he got attacked from the Big handed blue warriors during delivery. Hunt the Big handed blue warriors and collect 25 rice cakes.|155:25;Ha-Jik can't deliver the rice cake because of his injury. Deliver the rice cake to Gwee-Sik in Geum-Oh Mine.|155:25,exact-normalized-name,0.835,,false,true,false,false,matched-disagrees,15,4000,0,1
16,10,s1-10,Stage 10 — Big Handed Warriors combo,Lv 15-16,Geum-Oh Mine ↔ Narootuh ↔ Jook-Suh.,"Big Handed Blue Warrior drops both Quest 11’s ""Rice Cake"" and (with Red Warrior) Event Quest 5’s ""Big Handed Warrior’s Head"". Big Handed Red Warrior drops Quest 12’s ""Wa-Ryu’s Talisman"". Farm both colors together, then turn in all three.",2,Quest 12,Quest,12,Lv 16,16,"4,624 XP, 1 Skill Point, 600 geons",4624,600,0,1,false,"[""12.png""]","[""ms_m2_03.jpg""]","[{""type"":""talk"",""city"":""jook"",""pin"":""25"",""label"":""Talk""},{""type"":""talk"",""city"":""jook"",""pin"":""10"",""label"":""Turn in \""Wa-Ryu’s Talisman\""""}]",Quest,12,Wa-Ryu's Talisman,route-number-to-legacy-name,12,Wa-Ryu's Talisman,16,8000,1,2,8,Wa-Ryu worries that he lost the talisman of his wife's gift. Hunt the Big handed red warrior and get the Wa-Ryu's talisman.|156:1,exact-normalized-name,0.882,,false,true,true,true,matched-disagrees,16,8000,1,2
17,10,s1-10,Stage 10 — Big Handed Warriors combo,Lv 15-16,Geum-Oh Mine ↔ Narootuh ↔ Jook-Suh.,"Big Handed Blue Warrior drops both Quest 11’s ""Rice Cake"" and (with Red Warrior) Event Quest 5’s ""Big Handed Warrior’s Head"". Big Handed Red Warrior drops Quest 12’s ""Wa-Ryu’s Talisman"". Farm both colors together, then turn in all three.",3,Event Quest 5 (turn-in),Event,5,,,"1,782 XP",1782,0,0,0,false,[],[],"[{""type"":""talk"",""city"":""geum"",""pin"":""1"",""label"":""Turn in 40x \""Big Handed Warrior’s Head\""""}]",,,,no-confident-legacy-name,9003,[Event] Favor of the Governor of Geum-Ohee Castle,1,1000,0,0,9002,The Big Handed Blue Warriors are blocking the southern entrance of the Geum-Oh Mine. Eliminate the Big Handed Blue Warriors and bring their heads to HyungJoo-SeungGong in Guem-Oh Mine. He will be happy if you give 40 heads to HyungJoo-SeungGong.|173:40;HyungJoo-SeungGong want you to get stronger for fighting with the demons. Please go back to HyungJoo-SeungGong if your level comes to 30. HyungJoo-SeungGong will tell you what you can do.|,registered-route-objective-to-bango-name,1.000,,,true,false,false,matched-disagrees,1,1000,0,0
18,11,s1-11,Stage 11 — Joo-Nong’s Gold,Lv 17,Narootuh ↔ Geum-Oh Mine.,,1,Quest 13,Quest,13,Lv 17,17,"6,060 XP, 1 Skill Point",6060,0,0,1,false,[],"[""ms_m3_03.jpg""]","[{""type"":""talk"",""city"":""naroo"",""pin"":""6"",""label"":""Talk""},{""type"":""talk"",""city"":""geum"",""pin"":""2"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Infantry for 30x \""Joo-Nong’s Gold\""""},{""type"":""talk"",""city"":""geum"",""pin"":""2"",""label"":""Report""},{""type"":""talk"",""city"":""naroo"",""pin"":""6"",""label"":""Turn in""}]",Quest,13,Finding Yea-jin's Father,route-number-to-legacy-name,13,Finding Yae-Jin's Father,17,4500,0,1,10,"Yae-Jin's looking for her father who hasn't come back home for a half year. Go to Geum-Oh Mine and find him out.|;Yae-Jin's father, the miner, Joo-Nong said his gold was taken by the Demon infantry. They have a big sword with them. Hunt them and collect 30 golds.|157:30;Go back to Narootuh village and let Joo-Nong's daughter know that her father will come soon.|",name-content-and-level,0.658,,false,true,false,false,matched-disagrees,17,4500,0,1
19,12,s1-12,Stage 12 — Bamboo Poles,Lv 18,Geum-Oh Mine ↔ Jook-Suh.,,1,Quest 14,Quest,14,Lv 18,18,"6,450 XP, 1 Skill Point",6450,0,0,1,false,"[""14.png""]","[""ms_m3_04.jpg""]","[{""type"":""talk"",""city"":""geum"",""pin"":""29"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Throwing Soldiers for 30x \""Piece of Bamboo Pole\""""},{""type"":""talk"",""city"":""geum"",""pin"":""29"",""label"":""Report""},{""type"":""talk"",""city"":""jook"",""pin"":""9"",""label"":""Talk""},{""type"":""talk"",""city"":""geum"",""pin"":""29"",""label"":""Turn in""}]",Quest,14,Collecting Yang-Do's Bamboo Poles,route-number-to-legacy-name,14,Collecting Yang-Do's Bamboo Poles,18,9600,1,2,10,"The guard, Yang-Do's bamboo poles has been taken away by the Demon throwing soldiers. Collect 30 pieces of bamboo poles from Demon throwing soldiers and bring them to Yang-Do in Geum-Oh Mine.|159:30;There's Yoo-An's letter in the lost bamboo poles. Deliver the letter to Ok-Jin in Jook-Suh Cargo Station.|138:1;Ok-Jin refused to accept the letter, for she didn't try to believe her husband dead. Go to tell Yang-Do in Geum-Oh Mine about this.|;Ok-Jin's father, Ja-Gan saw the Yang-Do's letter and write a heartbreaking letter to his daughter. Give Ja-Gan's letter to Ok-Jin in Jook-Suh Cargo Station.|138:1,139:1;Ok-Jin's mind has been opened by the father's letter. Give Yang-Do the message that she'll meet Yoo-An after the revenge is finished.|",exact-normalized-name,0.817,,false,true,true,true,matched-disagrees,18,9600,1,2
20,13,s1-13,Stage 13 — Wild Demon Soldiers,Lv 19,Geum-Oh Mine.,,1,Quest 15,Quest,15,Lv 19,19,"7,400 XP, 1 Contribution Point",7400,0,1,0,false,"[""15.png""]","[""ms_m3_05.jpg""]","[{""type"":""talk"",""city"":""geum"",""pin"":""4"",""label"":""Talk""},{""type"":""talk"",""city"":""geum"",""pin"":""2"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Wild Demon Soldiers for 30x \""Statue\""""},{""type"":""talk"",""city"":""geum"",""pin"":""4"",""label"":""Turn in""}]",Quest,15,Finding the Statue of Protection,route-number-to-legacy-name,15,Finding the Statue of Protection,19,5600,1,0,13,"The Statue of Protection in the #1 mine has lost. Find out the Statue of Protection. It's said the Miner [Joo-Nong] know where it is.|;The miner, Joo-Nong said the Statue of Protection is taken by the demons with red light. Collect 30 pieces of the Statue of Protection from them and bring to Gwee-Sik.|160:30",exact-normalized-name,0.814,,false,true,false,false,matched-disagrees,19,5600,1,0
21,14,s1-14,Stage 14 — Demon Shock Troopers,Lv 20,Jook-Suh ↔ Geum-Oh Mine.,,1,Quest 16,Quest,16,Lv 20,20,"8,950 XP, 1 Skill Point",8950,0,0,1,false,"[""16.png""]","[""ms_m3_06.jpg""]","[{""type"":""talk"",""city"":""jook"",""pin"":""23"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Shock Troopers for 30x \""Ja-Gan’s Gold\""""},{""type"":""talk"",""city"":""jook"",""pin"":""23"",""label"":""Report""},{""type"":""talk"",""city"":""geum"",""pin"":""24"",""label"":""Talk""},{""type"":""talk"",""city"":""jook"",""pin"":""23"",""label"":""Turn in""}]",Quest,16,Ja-Gan's Good Conduct,route-number-to-legacy-name,16,Ja-Gan's Good Conduct,20,7000,0,1,14,"Ja-Gan wanted to get rid of the rumor that he was a miser, with his gold. But his gold was stolen by demons. Hunt Demon Shock Troopers and collect 30 golds.|158:30;Ja-Gan refused to get the gold back and said that it should be given to the poor. Go to Geum-Oh Mine and find the poor to give his gold.|158:30;Let Ja-Gan know that Won-Ga will spread the Ja-Gan's good deed throughout the country.|",exact-normalized-name,0.829,,false,true,false,false,matched-disagrees,20,7000,0,1
